acronym,full word
HUB-T,Humming Utility Bar by Totodaud
Google Sites,↓
PreFAST,Preset Filtered AweSome Table
SOFT,Spreadsheet Output Form Template
scaffolding,↓
MIST,Multi Input Single Target
GoST,Go-ahead Spreadsheet by Trigger
ADJUST,Adjust Data and Just Update Spreadsheet by Trigger
Direct,Direct Insert REsponse by Callback for Transaction
Template,아덴만의 여명
STAT,STatistical Approval environmenT
AGGREGATE,AGGREGatable Approval Tiny Environment
PROTECT,Protected Range On Transfer to Enable Cummulative Template
